               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.029486,            0.011922,           0.0073639,             0.82809,             0.76974,             0.82385,             0.52306,             0.03761,           0.0063779,            0.016948,             0.00307,             0.00307,             0.00307
                  37,            0.028149,            0.011978,           0.0057874,             0.94179,             0.75611,             0.85785,             0.57394,            0.035866,            0.006411,            0.016601,            0.002872,            0.002872,            0.002872
                  38,            0.028044,            0.010754,           0.0076266,             0.88116,             0.80189,             0.85817,             0.54805,            0.036779,           0.0062211,            0.015589,            0.002674,            0.002674,            0.002674
                  39,            0.027792,            0.011071,           0.0062968,             0.91374,             0.78007,             0.84891,             0.54601,            0.036935,           0.0059956,            0.016593,            0.002476,            0.002476,            0.002476
                  40,            0.028178,            0.011628,           0.0067987,             0.84918,             0.80028,             0.84274,              0.5491,            0.037359,           0.0058687,            0.019669,            0.002278,            0.002278,            0.002278
                  41,            0.026977,            0.011469,           0.0049398,             0.91754,             0.75465,             0.84219,             0.55295,            0.037464,           0.0058458,            0.018019,             0.00208,             0.00208,             0.00208
                  42,             0.02594,            0.010502,            0.008588,             0.91759,             0.80498,             0.85284,             0.53972,            0.037852,           0.0060516,            0.017255,            0.001882,            0.001882,            0.001882
                  43,            0.026796,            0.011316,           0.0043956,             0.90531,             0.76272,             0.84213,             0.56603,            0.036418,           0.0060185,            0.017303,            0.001684,            0.001684,            0.001684
                  44,            0.025888,            0.011183,           0.0047317,              0.8872,             0.80689,              0.8445,             0.54878,            0.036174,           0.0061283,            0.016718,            0.001486,            0.001486,            0.001486
                  45,            0.024906,            0.011162,           0.0047437,             0.87081,             0.80292,              0.8462,             0.54854,             0.03636,           0.0061042,            0.016672,            0.001288,            0.001288,            0.001288
                  46,            0.025347,            0.010694,           0.0037447,             0.91223,             0.80241,             0.84943,              0.5537,            0.036524,           0.0060827,            0.017006,             0.00109,             0.00109,             0.00109
                  47,            0.022918,            0.010008,            0.004412,             0.89593,             0.81223,             0.85198,             0.53709,            0.036836,           0.0061499,            0.016254,            0.000892,            0.000892,            0.000892
                  48,            0.022756,           0.0098387,           0.0034673,             0.90836,             0.78166,               0.845,             0.55613,            0.036191,           0.0061394,            0.016302,            0.000694,            0.000694,            0.000694
                  49,            0.024612,            0.010678,           0.0054401,             0.84165,             0.81225,             0.84807,              0.5541,            0.036566,            0.006116,            0.016459,            0.000496,            0.000496,            0.000496
